"name","address","phone","email","schedule_link","imax_technology","latitude","longitude"
"Helios Bełchatów","ul.Kolejowa 6, Bełchatów","+48 44 715 95 60","belchatow@helios.pl","https://www.helios.pl/37,Belchatow/Repertuar/",0,"51.3535140708787","19.376050568701626"
"Helios Białystok Alfa","ul. Świętojańska 15, Białystok","+48 85 741 13 56","alfabialystok@helios.pl","https://www.helios.pl/26,Bialystok/Repertuar/","0","53.125620296039685","23.169040091508897"
"Helios Białystok Biała","ul. Czesława Miłosza 2, Białystok","+48 85 710 91 72","bialystok@helios.pl","https://www.helios.pl/6,Bialystok/Repertuar/","0","53.12231763353874","23.177372572722625"
"Helios Białystok Jurowiecka","ul. Jurowiecka 1, Białystok","+48 85 871 01 14","bialystok.jurowiecka@helios.pl","https://www.helios.pl/46,Bialystok/Repertuar/","0","53.13682289758407","23.162460048608864"
"Helios Bielsko-Biała","ul. Mostowa 5, Bielsko-Biała","+48 33 498 70 12","bielsko@helios.pl","https://www.helios.pl/7,Bielsko-Biala/Repertuar/","0","49.82745621898707","19.04967177980713"
"Helios Bydgoszcz","ul. Fordońska 141, Bydgoszcz","+48 52 581 00 63","bydgoszcz@helios.pl","https://www.helios.pl/38,Bydgoszcz/Repertuar/","0","53.12593879791866","18.067248002362426"
"Helios Gdańsk Forum","Targ Sienny 7, Gdańsk","+48 58 732 96 07","gdansk.forum@helios.pl","https://www.helios.pl/58,Gdansk/Repertuar/","0","54.34846690167877","18.644202064718133"
"Helios Gdańsk Alfa","ul. Kołobrzeska 41C, Gdańsk","+48 58 767 99 82","gdansk@helios.pl","https://www.helios.pl/2,Gdansk/Repertuar/","0","54.404192572607286","18.5866502443354"
"Helios Gdańsk Metropolia","ul. Kilińskiego 4, Gdańsk","+48 58 731 13 96","gdansk.metropolia@helios.pl","https://www.helios.pl/49,Gdansk/Repertuar/","0","54.38274130256126","18.605643436555503"
"Helios Dąbrowa Górnicza","ul. Jana III Sobieskiego 6, Dąbrowa Górnicza","+48 32 262 32 19","dabrowa@helios.pl","https://www.helios.pl/27,Dabrowa-Gornicza/Repertuar/","0","50.327649035633165","19.182274958903243"
"Helios Gdynia","ul. Kazimierza Górskiego 2, Gdynia","+48 58 779 00 01","gdynia@helios.pl","https://www.helios.pl/42,Gdynia/Repertuar/","0","54.5050430092195","18.53197873261705"
"Helios Gniezno","ul. Pałucka 2, Gniezno","+48 61 426 66 19","gniezno@helios.pl","https://www.helios.pl/9,Gniezno/Repertuar/","0","52.561063486990086","17.612547353413003"
"Helios Gorzów Wielkopolski","Al. Konstytucji 3 Maja 102, Gorzów Wielkopolski","+48 95 737 27 37","gorzow@helios.pl","https://www.helios.pl/10,Gorzow-Wielkopolski/Repertuar/","0","52.73105117411271","15.224719083948406"
"Helios Grudziądz","ul. Chełmińska 4, Grudziądz","+48 56 643 12 13","grudziadz@helios.pl","https://www.helios.pl/32,Grudziadz/Repertuar/","0","53.48439312964071","18.747650627941585"
"Helios Jelenia Góra","Al. Jana Pawła II 51, elenia Góra","+48 75 769 38 65","jelenia.gora@helios.pl","https://www.helios.pl/45,Jelenia-Gora/Repertuar/","0","50.922159591763496","15.763085060166201"
"Helios Kalisz","ul. Górnośląska 82, Kalisz","+48 62 761 18 67","kalisz@helios.pl","https://www.helios.pl/40,Kalisz/Repertuar/","0","51.7442874799184","18.070156828236243"
"Helios Katowice","ul. Kościuszki 229, Katowice","+48 32 721 20 70","katowice@helios.pl","https://www.helios.pl/51,Katowice/Repertuar/","0","50.223955385064286","18.98771066993626"
"Helios Kędzierzyn-Koźle","Al. Armii Krajowej 38, Kędzierzyn-Koźle","+48 77 545 83 36","kedzierzyn@helios.pl","https://www.helios.pl/34,Kedzierzyn-Kozle/Repertuar/","0","50.34209364936955","18.19106578354544"
