"name","address","phone","email","schedule_link","imax_technology","latitude","longitude"
"Multikino Gdańsk","al. Zwycięstwa 14, Gdańsk","+48 54 23 03 631","gdansk@multikino.pl","https://multikino.pl/repertuar/gdansk/",0,"54.37212236607634","18.627158613036855"
"Multikino Biała Podlaska","ul. Brzeska 21, Biała Podlaska","+48 41 267 23 87","bialapodlaska@multikino.pl","https://multikino.pl/repertuar/biala-podlaska",0,"52.034403463238654","23.123035141024296"
"Multikino Bydgoszcz","ul. Marszałka Focha 48, Bydgoszcz","+48 41 267 23 70","bydgoszcz@multikino.pl","https://multikino.pl/repertuar/bydgoszcz",0,"53.12616554316124","17.989407199939517"
"Multikino Czechowice-Dziedzice","ul. Legionów 83. Czechowice-Dziedzice","+48 41 26 72 368","czechowicedziedzice@multikino.pl","https://multikino.pl/repertuar/czechowice-dziedzice",0,"49.912481536638005","18.997366171164693"
"Multikino Elbląg","ul. płk. Stanisława Dąbka 152","+48 41 267 23 71","elblag@multikino.pl","https://multikino.pl/repertuar/elblag",0,"54.185897570703744","19.406303971164693"
"Multikino Głogów","ul. Piłsudskiego 19, Głogów","+48 41 267 23 90","glogow@multikino.pl","https://multikino.pl/repertuar/glogow",0,"51.650155450960035","16.054871156701093"
"Multikino Gorzów Wielkopolski","ul. kombatantów 30, Gorzów Wielkopolski","+48 41 267 23 90","gorzow@multikino.pl","https://multikino.pl/repertuar/gorzow-wielkopolski",0,"52.76103527893256","15.260379700649477"
"Multikino Jaworzno","ul. Grunwaldzka 59, Jaworzno","+48 41 26 72 369","jaworzno@multikino.pl","https://multikino.pl/repertuar/jaworzno",0,"50.20335806642576","19.2687931"
"Multikino Kalisz","ul. 3 Maja 1, Kalisz","+48 41 267 23 84","kalisz@multikino.pl","https://multikino.pl/repertuar/kalisz",0,"51.76571080706539","18.08779086714561"
"Multikino Katowice","ul. 3 Maja 30, Katowice","+48 41 26 72 361","katowice@multikino.pl","https://multikino.pl/repertuar/katowice",0,"50.2587230928755","19.016505542330144"
"Multikino Kielce","ul. Warszawska 26, Kielce","+48 54 23 03 635","kielce@multikino.pl","https://multikino.pl/repertuar/kielce",0,"50.875691205184204","20.635210400000002"
"Multikino Kłodzko","ul. Noworudzka 2, Kłodzko","+48 41 267 23 83","klodzko@multikino.pl","https://multikino.pl/repertuar/klodzko",0,"50.45397977577372","16.637643933359147"
"Multikino Koszalin","ul. Paderewskiego 1, Koszalin","+48 41 26 72 364","koszalin@multikino.pl","https://multikino.pl/repertuar/koszalin",0,"54.176759419167105","16.20078476321199"
"Multikino Kraków","Dobrego Pasterza 128, Kraków","+48 54 23 03 630","krakow@multikino.pl","https://multikino.pl/repertuar/krakow",0,"50.088907823805","19.984302636788012"
