"name","address","phone","email","schedule_link","imax_technology","latitude","longitude"
"Cinema City Bielsko Biała","Leszczyńska 20, 43-382 Bielsko-Biała","+48 33 485 39 39","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/bielsko-biala",0,"49.80247716478286","19.050030153209224"
"Cinema City Bydgoszcz","Jagiellońska 39/47, 85-097 Bydgoszcz","+48 22 241 92 22","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/bydgoszcz",0,"53.12535102845733","18.018166868704267"
"Cinema City Bytom","Centrum Handlowe Agora, plac Tadeusza Kościuszki 1, 41-902 Bytom","+48 324 939 606","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/bytom",0,"50.34737747494929","18.919306555082276"
"Cinema City Cieszyn","Wojciecha Korfantego 23, 43-400 Cieszyn","+48 222 419 222","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/cieszyn",0,"49.750161107317425","18.63971608204232"
"Cinema City Częstochowa - Galeria Jurajska","Aleja Wojska Polskiego 207, 42-200 Częstochowa","+48 34 390 17 77","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/jurajska",0,"50.807495748217185","19.131543271079916"
"Cinema City Częstochowa - Wolność","Wolność, Aleja Tadeusza Kościuszki 5, 42-202 Częstochowa","+48 34 371 71 71","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/wolnosc",0,"50.81319209906386","19.1181058281166"
"Cinema City Elbląg","Teatralna 5, 82-300 Elbląg","+48 22 241 92 22","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/elblag",0,"54.165810713731645","19.401347726424827"
"Cinema City Gliwice","CH Forum, Lipowa 1, 44-100 Gliwice","+48 324 939 777","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/gliwice",0,"50.30034091626717","18.682848183915738"
"Cinema City IMAX Katowice - Punkt 44","Punkt 44, Gliwicka 44, 40-853 Katowice","+48 323 595 959","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/punkt44",0,"50.262611323299616","19.00645508391401"
"Cinema City Silesia","Silesia City Center, Chorzowska 107, 40-101 Katowice","+48 324 939 555","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/silesia",0,"50.27044294907695","19.00162179740777"
"Cinema City Kraków - Bonarka","CH Bonarka City Center, Henryka Kamieńskiego 11, 30-644 Kraków","+48 222 419 222","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/bonarka",0,"50.027038151380495","19.94968433972576"
"Cinema City Kraków - Galeria Kazimierz","Galeria Kazimierz, Podgórska 34, 31-536 Kraków","+48 122 545 454","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/kazimierz",0,"50.05368276754853","19.95488826856248"
"Cinema City IMAX Zakopianka","Zakopiańska 62, 30-418 Kraków","+48 122 959 595","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/zakopianka",0,"50.01643953984991","19.930487897396365"
"Cinema City Lublin - Felicity","Cinema City Felicity, al. Wincentego Witosa 32, 20-315 Lublin","+48 81 443 58 58","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/felicity",0,"51.23207242452219","22.61445756861609"
"Cinema City Lublin - Plaza","CH Plaza, Lipowa 13, 20-020 Lublin","+48 81 535 25 25","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/lublinplaza",0,"51.244718398674436","22.55191792628773"
"Cinema City Łódź - Manufaktura","CH Manufaktura, Drewnowska 58, 91-002 Łódź","+48 42 664 64 64","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/manufaktura",0,"51.780957095842176","19.44878235756748"
"Cinema City Poznań - Kinepolis","Kinepolis, Bolesława Krzywoustego 72, 61-144 Poznań","+48 61 871 56 00","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/kinepolis",0,"52.37355362335944","16.98046461099799"
"Cinema City Poznań - Plaza","CH Plaza, Drużbickiego 2, 61-693 Poznań","+48 61 662 62 62","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/poznanplaza",0,"52.44214914826156","16.91954342877371"
"Cinema City Ruda Śląska","1 Maja 310, 41-710 Ruda Śląska","+48 22 241 92 22","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/rudaslaska",0,"50.27569856322832","18.865984537888433"
"Cinema City Sosnowiec Plaza","Sosnowiec Plaza, Henryka Sienkiewicza 2, 41-400 Sosnowiec","+48 32 775 75 75","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/sosnowiec",0,"50.275714449674","19.12714304158563"
"Cinema City Starogard Gdański","Galeria Neptun, Pomorska 7, 83-200 Starogard Gdański","+48 58 325 01 50","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/starogard",0,"53.96451097026724","18.528644153402098"
"Cinema City Toruń - Czerwona Droga","Czerwona Droga 1/6, 87-100 Toruń","+48 56 664 64 64","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/czerwonadroga",0,"53.015276807677694","18.600237726370104"
"Cinema City Toruń - Plaza","Plaza, Broniewskiego 90, 87-100 Toruń","+48 22 241 92 22","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/torunplaza",0,"53.01602441434767","18.561302566850447"
"Cinema City Wałbrzych","Galeria Victoria, 1 Maja 64, 58-300 Wałbrzych","+48 74 648 48 48","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/walbrzych",0,"50.76711301450461","16.2656027685948"
"Cinema City Warszawa - Arkadia","al. Jana Pawła II 82, 00-175 Warszawa","+48 22 321 21 21","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/arkadia",0,"52.25723918367676","20.98454843982802"
"Cinema City Warszawa - Bemowo","Galeria Bemowo, Powstańców Śląskich 126A, 01-466 Warszawa","+48 22 241 95 19","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/bemowo",0,"52.26590485870823","20.932834039828464"
"Cinema City Warszawa - Białołęka","Białołęka Galeria Północna, Światowida 17, 03-144 Warszawa","+48 22 241 92 22","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/galeriapolnocna",0,"52.318658785246804","20.9670413711314"
"Cinema City Warszawa - Mokotów ","Wołoska 12, 02-675 Warszawa","+48 22 456 65 02","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/mokotow",0,"52.179152576158366","21.004201597495417"
"Cinema City Warszawa - Promenada","Ostrobramska 75C, 04-175 Warszawa","+48 22 241 90 90","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/promenada",0,"52.23168638065836","21.105382153320292"
"Cinema City Warszawa - Sadyba","Powsińska 31, 02-903 Warszawa","+48 22 241 94 19","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/sadyba",0,"52.18741782498665","21.06122031098915"
"Cinema City Wrocław - Korona","CH Korona, Bolesława Krzywoustego 126C, 51-421 Wrocław","+48 71 323 60 00","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/korona",0,"51.14228672095374","17.08910719929605"
"Cinema City Zielona Góra","Focus Mall Zielona Góra, Wrocławska 17, 65-427 Zielona Góra","+48 68 321 01 10","https://www.cinema-city.pl/kontakt","https://www.cinema-city.pl/kina/zielonagora",0,"51.93588539383726","15.511286497484118"
